City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,leh,34.1667,77.5833,-7.529999999999973,71,60,2.05,IN,1713735473
305,warmbad,-28.45,18.7333,24.03000000000003,23,86,3.69,NA,1713735473
306,general conesa,-40.1,-64.4333,12.810000000000002,44,99,5.99,AR,1713735475
307,zhongxiang,31.1661,112.5831,17.560000000000002,71,58,1.36,CN,1713735476
308,jabor,5.921,169.6434,28.210000000000036,84,98,9.5,MH,1713735476
309,plastun,44.7561,136.2939,3.7000000000000455,79,100,1.33,RU,1713735477
310,broken hill,-31.95,141.4333,14.189999999999998,46,0,3.4,AU,1713735480
311,nizhnesortymskiy,62.4397,71.7603,-7.3799999999999955,95,82,4.69,RU,1713735481
312,qaisumah,28.3112,46.1273,25.980000000000018,24,0,5.14,SA,1713735482
313,palmer,42.1584,-72.3287,9.79000000000002,36,100,5.66,US,1713735482
314,el nido,11.1858,119.3956,28.120000000000005,82,45,4.71,PH,1713735484
315,sao joao da barra,-21.6403,-41.0511,22.05000000000001,66,8,3.85,BR,1713735484
316,camiri,-20.05,-63.5167,28.879999999999995,61,100,0.0,BO,1713735488
317,al fashn,28.8243,30.8995,21.25,44,0,6.12,EG,1713735488
318,tomatlan,19.9333,-105.25,31.54000000000002,34,0,4.86,MX,1713735488
319,mahad,18.0833,73.4167,26.760000000000048,61,2,0.84,IN,1713735489
320,howard springs,-12.497,131.047,22.950000000000045,67,92,2.89,AU,1713735246
321,hadibu,12.65,54.0333,27.629999999999995,80,12,2.47,YE,1713735489
322,pandan,14.0453,124.1694,26.600000000000023,83,20,3.8,PH,1713735490
323,kiunga,-6.1219,141.2906,24.08000000000004,100,100,0.3,PG,1713735490
324,anna regina,7.2644,-58.5077,26.600000000000023,74,99,3.77,GY,1713735491
325,aylmer,42.7668,-80.983,12.090000000000032,40,57,5.5,CA,1713735492
326,tazovsky,67.4667,78.7,-24.95999999999998,100,91,3.2,RU,1713735493
327,kambove,-10.8764,26.5969,16.700000000000045,88,30,1.08,CD,1713735493
328,ar rabiyah,29.295,47.9331,25.99000000000001,67,100,4.62,KW,1713735494
329,pangody,65.85,74.4859,-17.45999999999998,94,100,5.83,RU,1713735494
330,gornopravdinsk,60.05,69.9,0.6000000000000227,91,32,3.95,RU,1713735494
331,el calafate,-50.3408,-72.2768,4.439999999999998,74,7,2.46,AR,1713735247
332,saynshand,44.8824,110.1163,2.420000000000016,52,2,3.85,MN,1713735495
333,languyan,5.2618,120.0807,26.060000000000002,86,77,0.46,PH,1713735496
334,betare oya,5.6,14.0833,23.560000000000002,75,82,0.17,CM,1713735496
335,sale,34.0389,-6.8166,16.460000000000036,94,4,0.0,MA,1713735496
336,village of oak creek (big park),34.7809,-111.7623,30.980000000000018,14,40,0.89,US,1713735497
337,makarov,48.6333,142.8,2.4600000000000364,99,100,2.74,RU,1713735519
338,kiruna,67.8557,20.2251,-17.48999999999998,78,96,2.57,SE,1713735520
339,chauk,20.8833,94.8167,28.350000000000023,69,52,2.61,MM,1713735523
340,belaya kholunitsa,58.84,50.8528,7.560000000000002,63,98,3.02,RU,1713735524
341,vuktyl,63.8567,57.3094,-2.159999999999968,88,74,3.58,RU,1713735524
342,rio preto da eva,-2.6994,-59.6997,22.77000000000004,99,100,1.0,BR,1713735525
343,uyo,5.0333,7.9266,26.230000000000018,86,98,0.83,NG,1713735526
